user_input,reference
Tecno camon 30 8GB là điện thoại gì ?,"Tecno Camon 30 8GB là một chiếc điện thoại với nhiều tính năng nổi bật. Sản phẩm này có giá khuyến mãi là 5.490.000 VND. Điện thoại được trang bị chip Helio G99 Ultimate, màn hình 6.78 inch AMOLED, và RAM 8GB. Về khuyến mãi, có nhiều ưu đãi như giảm thêm 200.000đ cho chủ thẻ Sacombank, giảm 1 triệu khi mở thẻ tín dụng VPBank, và nhiều ưu đãi khác khi thanh toán qua các thẻ tín dụng khác. Tecno Camon 30 nổi bật với camera sau 100MP và camera selfie 50MP, cùng với màn hình AMOLED FHD+ và tần số quét 120Hz, mang lại trải nghiệm hình ảnh sắc nét và mượt mà. Pin 5000mAh hỗ trợ sạc siêu tốc 70W, cho phép sử dụng lâu dài và sạc nhanh chóng."
Mô tả về điện thoại Mobell F209,"Điện thoại Mobell F209 4G là một lựa chọn phù hợp cho những ai cần một thiết bị đơn giản, dễ sử dụng với kết nối hiện đại. Sản phẩm có giá 620.000 VND, nổi bật với pin dung lượng 1500mAh và màn hình 2.4 inch. Mobell F209 4G hỗ trợ 2 SIM 2 sóng và kết nối 4G VoLTE, mang lại chất lượng cuộc gọi tốt và truy cập Internet nhanh chóng. Thời lượng pin ấn tượng cho phép sử dụng liên tục trong nhiều ngày chỉ với một lần sạc.

Khuyến mãi hiện tại bao gồm giảm ngay 1 triệu khi mở thẻ tín dụng VPBank, giảm 5% tối đa 200.000đ hoặc giảm 50% tối đa 100.000đ qua Kredivo, và nhiều ưu đãi khác. Sản phẩm có các màu Đỏ, Đen, và Xanh dương, và được phân phối chính hãng tại FPT Shop với bảo hành 12 tháng và giao hàng miễn phí toàn quốc."
Giá hiện tại của Xiaomi 14T Pro là bao nhiêu?,"Xin lỗi, mình không tìm thấy thông tin về giá của điện thoại Xiaomi 14T Pro. Bạn có thể xem xét các mẫu điện thoại khác."
Các phiên bản màu của iPhone 14 hiện có tại cửa hàng ?,"iPhone 14 hiện có các phiên bản màu sắc sau tại cửa hàng:

- Đỏ
- Tím
- Xanh dương
- Vàng
- Đen
- Trắng

Các tùy chọn bộ nhớ bao gồm 128 GB và 256 GB."
Có mẫu điện thoại Samsung có giá dưới 10 triệu tại cửa hàng ?,"Tại cửa hàng FPTShop, có một số mẫu điện thoại Samsung giá dưới 10 triệu như sau:

1. **Samsung Galaxy A25 5G**: Giá khuyến mãi 5.990.000 VNĐ, nổi bật với chip Exynos 1280, màn hình 6.5 inch và loa kép.

2. **Samsung Galaxy A05s**: Giá khuyến mãi 3.390.000 VNĐ, có màn hình 6.7 inch, pin 5000mAh, sạc 25W và chip Snapdragon 680.

3. **Samsung Galaxy A06 4GB 128GB**: Giá khuyến mãi 3.190.000 VNĐ, trang bị màn hình 6.7 inch HD+, chip Helio G85 và sạc nhanh 25W.

4. **Samsung Galaxy A15**: Giá khuyến mãi 4.490.000 VNĐ, sở hữu màn hình Super AMOLED 90Hz, chip MediaTek Helio G99, pin 5000mAh và sạc 25W."
Các mẫu điện thoại Samsung nào trong khoảng giá 10 đến 15 triệu?,"Dưới đây là các mẫu điện thoại Samsung trong khoảng giá từ 10 đến 15 triệu:

1. **Samsung Galaxy S23 FE 5G**
   - Giá khuyến mãi: 10.890.000 đồng (giá gốc 14.890.000 đồng)
   - Điểm nổi bật: Chip Exynos 2200 5G, màn hình 6.4"" Dynamic AMOLED 2X, khả năng kháng bụi và nước IP68.

2. **Samsung Galaxy A54 5G**
   - Giá khuyến mãi: 9.990.000 đồng (giá gốc 11.490.000 đồng)
   - Điểm nổi bật: Pin dung lượng 5000 mAh, chip Exynos 1380, màn hình 6.4 inch Super AMOLED."
Các dòng Samsung trong tầm giá 15 đến 20 triệu hiện có?,"Hiện tại, trong tầm giá từ 15 đến 20 triệu, có sản phẩm Samsung Galaxy S24 FE 5G với giá 16.990.000 VND. Điểm nổi bật của sản phẩm này bao gồm chip Exynos 2400, khả năng kháng bụi và nước đạt chuẩn IP68, cùng màn hình 6.7 inch Dynamic AMOLED 2X FHD+."
Điện thoại hãng Samsung trên 30 triệu đang đuộc bán tại cửa hàng ?,"Dưới đây là các mẫu điện thoại Samsung có giá trên 30 triệu đang được bán tại cửa hàng:

1. **Samsung Galaxy Z Fold6 5G**
   - Giá khuyến mãi: 41.990.000 đồng
   - Điểm nổi bật: Chip Snapdragon 8 Gen 3, RAM 12GB, khả năng kháng nước và bụi bẩn IPX8, màn hình gập 7.6 inch Dynamic AMOLED 2X.

2. **Samsung Galaxy S24 Ultra 5G**
   - Giá khuyến mãi: 29.990.000 đồng
   - Điểm nổi bật: Màn hình 6.8 inch Dynamic AMOLED 2X QHD, chip Snapdragon 8 Gen 3, RAM 12GB, khung máy Titan.

3. **Samsung Galaxy Z Fold5 5G**
   - Giá khuyến mãi: 27.990.000 đồng
   - Điểm nổi bật: Khả năng kháng nước và bụi bẩn IPX8, màn hình gập 7.6 inch Dynamic AMOLED 2X, chip Snapdragon 8 Gen 2, RAM 12GB."
Cửa hàng đang bán những mẫu Samsung nào trong khoảng giá 20-30 triệu?,"Dưới đây là các mẫu điện thoại Samsung trong khoảng giá từ 20-30 triệu:

1. **[Samsung Galaxy S24 Plus 5G](https://fptshop.com.vn/dien-thoai/samsung-galaxy-s24-plus)**
   - Giá: ~~26.990.000~~ 20.990.000 (Giảm giá)
   - Điểm nổi bật: Màn hình 6.7'' Dynamic AMOLED 2X FHD+, chip Exynos 2400, khung máy hợp kim nhôm.

Các mẫu khác như Samsung Galaxy Z Flip5 5G, Samsung Galaxy S23 5G, và Samsung Galaxy Z Flip4 5G có giá dưới 20 triệu sau khi giảm giá."
Những mẫu iPhone nào có giá trong khoảng 20 đến 30 triệu?,"Dưới đây là các mẫu iPhone có giá từ 20 đến 30 triệu đồng:

1. **[iPhone 16 Plus](https://fptshop.com.vn/dien-thoai/iphone-16-plus)**
   - Giá khuyến mãi: 25.790.000 VNĐ
   - Điểm nổi bật: Chip Apple A18 mạnh mẽ, thời lượng pin 27 giờ, nút Camera Control mới.

2. **[iPhone 16](https://fptshop.com.vn/dien-thoai/iphone-16)**
   - Giá khuyến mãi: 22.290.000 VNĐ
   - Điểm nổi bật: Chip Apple A18 mạnh mẽ, thời lượng pin 22 giờ, nút Camera Control mới.

3. **[iPhone 15 Plus](https://fptshop.com.vn/dien-thoai/iphone-15-plus)**
   - Giá khuyến mãi: 22.690.000 VNĐ
   - Điểm nổi bật: Camera 48MP siêu nét, màn hình lớn 6,7 inch, pin lên đến 26 giờ."
