user_input,reference
FPT Shop thu thập thông tin cá nhan cua khach hang de lam gi va co nhung thong tin nao duoc thu thap?,"FPTshop.com.vn thu thập thông tin cá nhân của khách hàng để cung cấp dịch vụ, xác minh danh tính, và đảm bảo các hoạt động giao dịch an toàn. Các thông tin được thu thập bao gồm số lần truy cập, số trang bạn xem, số liên kết bạn click và thông tin trình duyệt khi truy cập website."
How does FPTshop.com.vn use customer personal information?,"FPTshop.com.vn chỉ sử dụng thông tin cá nhân của khách hàng trong phạm vi đã thông báo, bao gồm liên hệ trực tiếp qua thư ngỏ, đơn đặt hàng, thư cảm ơn, sms, thông tin bảo mật, và các dịch vụ khác liên quan."
Thông tin cá nhân của khách hàng được lưu trữ bao lâu trên FPTshop.com.vn?,"Dữ liệu cá nhân sẽ được lưu trữ đến khi có yêu cầu hủy bỏ từ khách hàng hoặc khi khách hàng tự hủy bỏ thông tin. Trong mọi trường hợp, dữ liệu cá nhân sẽ được bảo mật trên máy chủ của FPTshop.com.vn."
FPT Shop cam kết bảo vệ thông tin của khách hàng ra sao?,"FPTshop.com.vn cam kết bảo mật thông tin cá nhân của khách hàng tuyệt đối, chỉ thu thập và sử dụng khi có sự đồng ý từ khách hàng, và không chia sẻ với bên thứ ba trừ trường hợp có quy định của pháp luật."
"As a Data Privacy Officer, I am particularly interested in understanding the measures that FPTShop has implemented to protect customer payment card information. Could you elaborate on how FPTShop ensures the security of this sensitive data and what standards are followed in this process?","FPTShop ensures that customer payment card information is not stored on its systems. Instead, payment gateway partners are responsible for retaining and securing this information in accordance with international PCI DSS standards."
"As a Data Privacy Officer, I am interested in understanding the process for customers to request the deletion of their personal data at FPT Shop. Specifically, could you elaborate on how the Trung tâm hỗ trợ facilitates this request and what steps are involved in ensuring compliance with data privacy regulations?",Khách hàng có thể gửi yêu cầu xóa dữ liệu qua email đến Trung tâm hỗ trợ của FPT Shop: fptshop@fpt.com.vn. Yêu cầu sẽ được chuyển đến bộ phận xử lý và khách hàng sẽ được cập nhật về tiến trình xóa dữ liệu.
FPT Shop co chinh sach giao hang tai nha nhu the nao trong pham vi 20km?,"FPT Shop hỗ trợ giao hàng tại nhà trên toàn quốc với phạm vi phủ sóng 63 tỉnh thành. Miễn phí giao hàng trong bán kính 20km với đơn hàng dưới 100.000 VNĐ thu phí 10.000 VNĐ. Với khoảng cách xa hơn, nhân viên sẽ tư vấn chi tiết."
"As a Customer Data Analyst, I am interested in understanding the payment methods available for online purchases at FPT Shop, particularly how they differ based on the order value. Could you elaborate on the specific payment requirements for orders above and below 50 million VND?",Đơn hàng có giá trị từ 50 triệu trở lên: Quý khách phải thanh toán trước 100% giá trị đơn hàng nếu muốn giao hàng tại nhà. Đơn hàng có giá trị dưới 50 triệu: Quý khách có thể nhận hàng và thanh toán tại nhà khi đồng ý mua hàng.
"FPT Shop co ho tro lap dat san pham tai nha khong, nhat la cho TV?","FPT Shop hỗ trợ lắp đặt miễn phí cho các sản phẩm cần lắp đặt như TV, điều hòa sau khi giao hàng đến nơi."
FPT Shop ho tro doi tra san pham nhu the nao?,"Khách hàng có thể đổi sản phẩm nếu phát hiện lỗi ngoại quan trước khi kích hoạt bảo hành điện tử hoặc ngay khi nhận hàng. Nếu sản phẩm có lỗi kỹ thuật của nhà sản xuất, khách hàng được đổi sản phẩm mới tại FPT Shop."
